"","Video","Frame.no.","Date.of.video","Colony","Date.of.analysis","Treatment","Year","Observer.doing.the.analysis","Length.in.pixels.of.Zone2","Length.in.pixels.of.Zone1","End.of.bridge","Ant.choice","Ant.fed.on.the.feeder","Angle.measurement.1","Angle.measurement.2","Angle.measurement.3","Reason.for.NA..Angle.measurement.","Gaster.touching.the.paper","Comments"
"100","DSC_8720",9615,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","No",46.469,45.415,45.392,"","na",""
"101","DSC_8720",9618,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","No",45.743,46.427,45.49,"","na",""
"102","DSC_8720",9621,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","No",48.219,48.545,47.701,"","no",""
"103","DSC_8720",9624,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","No",53.826,52.284,52.067,"","no",""
"104","DSC_8720",9627,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","No",51.432,51.244,50.289,"","na",""
"105","DSC_8720",9630,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","No",54.234,55.026,54.604,"","na",""
"106","DSC_8720",9633,"10/23/2023","C6F23","11/3/2025","Control","2023","Chinmay",912.002,608.001,"Right","Correct","No",55.905,54.028,55.305,"","no",""
"107","DSC_8674",17993,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","No",NA,NA,NA,"ant not sideways","no",""
"108","DSC_8674",17996,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","No",40.406,39.289,35.211,"","na","cant distinguish legs"
"109","DSC_8674",17999,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","No",41.291,39.655,40.581,"","na","cant distinguish legs"
"110","DSC_8674",18002,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","No",NA,NA,NA,"ant not sideways","no",""
"111","DSC_8674",18005,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","No",NA,NA,NA,"cant determine direction of ant","na","cant distinguish legs"
"112","DSC_8674",18008,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","No",NA,NA,NA,"ant not sideways","no",""
"113","DSC_8674",18011,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","No",NA,NA,NA,"ant not sideways","no",""
"114","DSC_8674",18014,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","No",NA,NA,NA,"ant not sideways","no",""
"115","DSC_8674",18017,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","No",NA,NA,NA,"ant not sideways","no",""
"116","DSC_8674",18020,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","No",NA,NA,NA,"ant not sideways","no",""
"117","DSC_8674",18023,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","Yes",NA,NA,NA,"ant not sideways","no",""
"118","DSC_8674",18026,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","Yes",NA,NA,NA,"ant not sideways","no",""
"119","DSC_8674",18029,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","Yes",NA,NA,NA,"ant not sideways","no",""
"120","DSC_8674",18032,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","Yes",NA,NA,NA,"ant not sideways","no",""
"121","DSC_8674",18035,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","Yes",NA,NA,NA,"ant not sideways","na","cant distinguish legs"
"122","DSC_8674",18038,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","Yes",NA,NA,NA,"ant not sideways","no",""
"123","DSC_8674",18041,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","Yes",NA,NA,NA,"ant not sideways","no",""
"124","DSC_8674",18044,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","Yes",36.714,34.794,33.896,"","no",""
"125","DSC_8674",18047,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","Yes",NA,NA,NA,"ant not sideways","no",""
"126","DSC_8674",18050,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","Yes",NA,NA,NA,"ant not sideways","no",""
"127","DSC_8674",18053,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","Yes",NA,NA,NA,"ant not sideways","no",""
"128","DSC_8674",18056,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","Yes",36.638,39.341,39.806,"","no",""
"129","DSC_8674",18059,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","Yes",37.807,36.87,37.764,"","no",""
"130","DSC_8674",18062,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","Yes",39.417,38.641,39.354,"","no",""
"131","DSC_8674",18065,"10/12/2023","C3F23","12/14/2023","Control","2023","Hayley",792.003,528.002,"Left","Correct","Yes",NA,NA,NA,"ant not sideways","no",""
"144","DSC_8833",985,"7/3/2024","C2F24","1/23/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",47.478,44.231,40.855,"","No",""
"145","DSC_8833",988,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",45.476,43.584,40.32,"","No",""
"146","DSC_8833",991,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",44.766,43.694,40.723,"","No",""
"147","DSC_8833",994,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant very blurry",NA,""
"148","DSC_8833",997,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways","No",""
"149","DSC_8833",1000,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways","No",""
"150","DSC_8833",1003,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways",NA,""
"151","DSC_8833",1006,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways","No",""
"152","DSC_8833",1009,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",33.183,32.092,34.312,"",NA,""
"153","DSC_8833",1012,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways","No",""
"154","DSC_8833",1015,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways",NA,""
"155","DSC_8833",1018,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways","No",""
"156","DSC_8833",1021,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways",NA,""
"157","DSC_8833",1024,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways",NA,""
"158","DSC_8833",1027,"7/3/2024","C2F24","1/30/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways",NA,""
